City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,dhaurahra,28.0,81.0833,75.97,97,100,22.97,IN,1720310120
118,dalandzadgad,43.5708,104.425,78.96,17,1,4.09,MN,1720310121
119,marka,1.7159,44.7717,77.0,80,34,18.59,SO,1720310122
120,askoy,60.4092,5.226,55.96,100,75,11.5,NO,1720310123
121,dapaong,10.8639,0.205,76.26,80,85,7.27,TG,1720310125
122,aitape,-3.1374,142.3475,79.41,85,100,2.35,PG,1720310126
123,faranah,10.0404,-10.7434,71.1,97,98,7.02,GN,1720310127
124,vylkove,45.4021,29.586,69.19,62,6,6.93,UA,1720310128
125,rocky mountain house,52.3668,-114.9188,73.51,31,78,5.75,CA,1720310129
126,isafjordur,66.0755,-23.124,44.64,67,75,2.98,IS,1720310131
127,dudinka,69.4058,86.1778,51.48,82,82,13.27,RU,1720310132
128,atafu village,-8.5421,-172.5159,83.05,71,78,5.97,TK,1720310133
129,arkhangel'sk,64.5401,40.5433,51.91,100,20,4.47,RU,1720310134
130,piriapolis,-34.8682,-55.2744,41.16,89,0,3.44,UY,1720310135
131,niquelandia,-14.4739,-48.4597,70.0,39,12,2.46,BR,1720310137
132,goundam,16.4145,-3.6708,88.38,43,38,18.75,ML,1720310138
133,padang,-0.9492,100.3543,75.25,80,92,5.21,ID,1720310139
134,kirakira,-10.4544,161.9205,79.41,83,100,9.75,SB,1720310140
135,kolonia town,6.964,158.206,87.8,74,75,5.75,FM,1720310141
136,namibe,-15.1961,12.1522,62.15,88,52,5.73,AO,1720310143
137,anadyr,64.75,177.4833,61.3,77,75,6.71,RU,1720309876
138,salekhard,66.53,66.6019,56.37,75,34,3.15,RU,1720310145
139,prince edward,44.0001,-77.2495,78.62,76,1,1.01,CA,1720310146
140,maintirano,-18.0667,44.0167,67.98,75,1,11.18,MG,1720310147
141,oskarshamn,57.2645,16.4484,61.99,95,100,11.92,SE,1720310148
142,mount isa,-20.7333,139.5,71.37,60,10,17.27,AU,1720310150
143,san luis de la loma,17.2706,-100.8939,84.24,73,20,8.59,MX,1720310151
144,kudahuvadhoo,2.6708,72.8944,83.05,74,100,3.42,MV,1720310152
145,luderitz,-26.6481,15.1594,55.36,93,8,16.69,,1720310153
146,ilhabela,-23.7781,-45.3581,67.8,91,52,7.07,BR,1720310154
147,gilleleje,56.122,12.3106,57.27,80,100,8.99,DK,1720310156
148,cooma,-36.2333,149.1333,45.84,71,4,2.62,AU,1720310157
149,palikir - national government center,6.9248,158.1611,86.74,74,75,5.75,FM,1720310158
150,constitucion,-35.3333,-72.4167,46.15,73,0,7.49,CL,1720310159
151,horta,38.5333,-28.6333,70.02,82,8,3.0,PT,1720310160
152,praia da vitoria,38.7333,-27.0667,73.65,88,40,9.01,PT,1720310162
153,bereznik,62.8551,42.7072,51.69,85,5,5.08,RU,1720310164
154,diapaga,12.0708,1.7889,77.43,81,37,6.87,BF,1720310165
155,ayr,55.4627,-4.6339,53.31,88,32,6.4,GB,1720310167
156,pakokku,21.3333,95.1,83.3,73,93,9.01,MM,1720310168
157,tsiombe,-25.3,45.4833,61.81,91,6,6.89,MG,1720310169
158,galliano,29.4422,-90.2992,90.0,70,40,0.0,US,1720310170
159,arraial do cabo,-22.9661,-42.0278,70.92,83,0,8.93,BR,1720310171
160,mount pearl,47.5166,-52.7813,61.95,84,100,18.41,CA,1720309926
161,revelstoke,50.9832,-118.2023,89.62,18,0,6.91,CA,1720310175
162,ariquemes,-9.9133,-63.0408,84.27,45,81,0.87,BR,1720310176
163,yunfu,22.9306,112.0373,83.03,80,0,1.81,CN,1720310177
164,bilibino,68.0546,166.4372,45.39,86,100,5.01,RU,1720310178
165,aral,40.5156,81.2636,75.54,41,0,6.22,CN,1720310181
166,kodiak,57.79,-152.4072,62.11,67,20,12.66,US,1720310182
167,avarua,-21.2078,-159.775,80.65,83,75,10.36,CK,1720310156
168,itaituba,-4.2761,-55.9836,77.85,57,8,2.15,BR,1720310184
169,burutu,5.3509,5.5076,77.67,88,81,6.4,NG,1720310185
170,yelizovo,53.1873,158.3805,62.74,77,75,2.24,RU,1720310186
171,sayansk,54.1088,102.1648,69.84,75,84,0.89,RU,1720310188
172,ad dabbah,18.05,30.95,89.98,16,3,5.06,SD,1720310189
173,kolyshley,52.7005,44.5367,61.9,84,5,16.98,RU,1720310190
174,saipan,15.1355,145.701,88.5,74,40,14.97,MP,1720310191
175,maloye ganyushkino,46.6,49.2667,81.77,30,19,3.02,KZ,1720310192
176,muang phon-hong,18.4928,102.4172,76.84,93,52,1.61,LA,1720310194
177,trinidad,-14.8333,-64.9,69.78,64,20,3.44,BO,1720310195
178,katsuura,35.1333,140.3,79.61,84,100,5.28,JP,1720310196
179,saudarkrokur,65.7461,-19.6394,39.49,92,88,6.62,IS,1720310197
180,great falls,47.5002,-111.3008,77.16,40,0,8.05,US,1720310198
181,agat village,13.3886,144.6585,88.36,77,20,14.97,GU,1720310200
